x,y,z,intensity
0.34625,2.8909,-0.90852,33
0.38868,3.2451,-0.93717,26
0.42636,3.5597,-0.93855,19
0.4682,3.9091,-0.93284,21
0.16034,1.3096,-0.78248,27
0.17015,1.3898,-0.78668,23
0.17897,1.4618,-0.78308,22
0.19721,1.6108,-0.81511,23
0.20891,1.7064,-0.81373,24
0.22758,1.8589,-0.83381,25
0.24782,2.0241,-0.85178,22
0.28254,2.3078,-0.90789,25
0.30353,2.4792,-0.90909,21
0.32973,2.6932,-0.91682,24
0.35289,2.8824,-0.90613,25
0.38946,3.1811,-0.91897,33
0.4338,3.5433,-0.9345,19
0.48246,3.9407,-0.94068,21
0.16401,1.3075,-0.78146,33
0.17253,1.3754,-0.77884,21
0.18331,1.4613,-0.78308,23
0.20132,1.6049,-0.81242,26
0.21465,1.7112,-0.8163,21
0.23287,1.8564,-0.833,21
0.25773,2.0545,-0.86489,20
0.29055,2.3162,-0.91153,24
0.30854,2.4596,-0.90225,21
0.34007,2.711,-0.92322,24
0.36334,2.8965,-0.9109,27
0.4001,3.1895,-0.92173,30
0.43877,3.4978,-0.92285,14
0.49657,3.9585,-0.94529,22
0.16548,1.2882,-0.77024,33
0.17728,1.3801,-0.78178,21
0.18877,1.4695,-0.78777,24
0.20494,1.5954,-0.80793,24
0.2241,1.7446,-0.83256,23
0.23884,1.8593,-0.83462,23
0.26359,2.0519,-0.86412,20
0.29695,2.3116,-0.91008,26
0.31752,2.4718,-0.90704,18
0.34619,2.6949,-0.9181,28
0.37753,2.9389,-0.9246,23
0.41078,3.1978,-0.92449,33
0.44816,3.4888,-0.92082,17
0.50657,3.9435,-0.94207,27
0.16975,1.2946,-0.77432,33
0.18225,1.39,-0.78766,21
0.19308,1.4725,-0.78965,24
0.204,1.5559,-0.78818,24
0.2282,1.7404,-0.83085,28
0.2449,1.8677,-0.83869,26
0.26992,2.0585,-0.8672,22
0.29839,2.2757,-0.89625,25
0.32472,2.4765,-0.90909,19
0.35324,2.694,-0.9181,32
0.38125,2.9077,-0.91507,33
0.4204,3.2062,-0.92724,26
0.46157,3.5202,-0.92943,17
0.51614,3.9364,-0.94068,24
